Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,Has_Twitter,match_score,univ_Gender,univ_Country,univ_Party,univ_Position,univ_Branch,univ_Role,univ_YearTookOffice,univ_Status,univ_Region
Alois Rainer,Male,Germany,Christian Social Union of Bavaria,,Executive,2025,,Current,AloisRainer,True,100.0,m,Germany,CSU,"Federal Minister of Agriculture, Food and Regional Identity",Executive,Cabinet,2025,Incumbent,
Andreas Scheuer,Male,Germany,Christian Social Union of Bavaria,,Executive,2018,2021,Former,AndiScheuer,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Previous,
Angela Merkel,Female,Germany,Christian Democratic Union,,Executive,2005,2021,Former,AngelaMerkeICDU,True,100.0,f,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Anja Karliczek,Female,Germany,Christian Democratic Union,,Executive,2018,2021,Former,AnjaKarliczek,True,100.0,f,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Annalena Baerbock,Female,Germany,Alliance '90/The Greens,,Executive,2021,2025,Former,ABaerbock,True,100.0,f,Germany,Greens,Federal Minister for Foreign Affairs,Executive,Cabinet,2021,Previous,
Anne Spiegel,Female,Germany,Alliance '90/The Greens,,Executive,2021,2022,Former,,False,100.0,f,Germany,Greens,"Federal Minister for Family Affairs, Senior Citizens, Women and Youth",Executive,Cabinet,2021,Previous,
Bettina Stark-Watzinger,Female,Germany,Free Democratic Party,,Executive,2021,2024,Former,starkwatzinger,True,100.0,f,Germany,FDP,Federal Minister of Education and Research,Executive,Cabinet,2021,Previous,
Boris Pistorius,Male,Germany,Social Democratic Party of Germany,,Executive,2025,,Current,borispistorius,True,100.0,m,Germany,SPD,Federal Minister of Defence,Executive,Cabinet,2023,Incumbent,
Boris Pistorius,Male,Germany,Social Democratic Party of Germany,,Executive,2023,2025,Former,borispistorius,True,100.0,m,Germany,SPD,Federal Minister of Defence,Executive,Cabinet,2023,Incumbent,
Bärbel Bas,Female,Germany,Social Democratic Party of Germany,,Executive,2025,,Current,baerbelbas,True,100.0,f,Germany,SPD,Federal Minister of Labour and Social Affairs,Executive,Cabinet,2025,Incumbent,
