Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,source_file
Alois Rainer,Male,Germany,Christian Social Union of Bavaria,,Executive,2025,,Current,AloisRainer,query (5).csv
Andreas Scheuer,Male,Germany,Christian Social Union of Bavaria,,Executive,2018,2021,Former,AndiScheuer,query (5).csv
Angela Merkel,Female,Germany,Christian Democratic Union,,Executive,2005,2021,Former,AngelaMerkeICDU,query (5).csv
Anja Karliczek,Female,Germany,Christian Democratic Union,,Executive,2018,2021,Former,AnjaKarliczek,query (5).csv
Annalena Baerbock,Female,Germany,Alliance '90/The Greens,,Executive,2021,2025,Former,ABaerbock,query (5).csv
Anne Spiegel,Female,Germany,Alliance '90/The Greens,,Executive,2021,2022,Former,,query (5).csv
Annegret Kramp-Karrenbauer,Female,Germany,Christian Democratic Union,,Executive,2019,2021,Former,akk,query (5).csv
Bettina Stark-Watzinger,Female,Germany,Free Democratic Party,,Executive,2021,2024,Former,starkwatzinger,query (5).csv
Boris Pistorius,Male,Germany,Social Democratic Party of Germany,,Executive,2025,,Current,borispistorius,query (5).csv
Boris Pistorius,Male,Germany,Social Democratic Party of Germany,,Executive,2023,2025,Former,borispistorius,query (5).csv
Bärbel Bas,Female,Germany,Social Democratic Party of Germany,,Executive,2025,,Current,baerbelbas,query (5).csv
Carsten Schneider,Male,Germany,Social Democratic Party of Germany,,Executive,,,Current,schneidercar,query (5).csv
Cem Özdemir,Male,Germany,Alliance '90/The Greens,,Executive,2021,2025,Former,cem_oezdemir,query (5).csv
Cem Özdemir,Male,Germany,Alliance '90/The Greens,,Executive,2024,2025,Former,cem_oezdemir,query (5).csv
Christian Lindner,Male,Germany,Free Democratic Party,,Executive,2021,2024,Former,c_lindner,query (5).csv
Christine Lambrecht,Female,Germany,Social Democratic Party of Germany,,Executive,2021,2021,Former,LambrechtMdB,query (5).csv
Christine Lambrecht,Female,Germany,Social Democratic Party of Germany,,Executive,2018,2021,Former,LambrechtMdB,query (5).csv
Dorothee Bär,Female,Germany,Christian Social Union of Bavaria,,Executive,,,Current,DoroBaer,query (5).csv
Elisabeth Schwarzhaupt,Female,Germany,Christian Democratic Union,,Executive,,,Current,,query (5).csv
Eugen Schiffer,Male,Germany,Free Democratic Party,,Executive,,,Current,,query (5).csv
Frank-Walter Steinmeier,Male,Germany,Social Democratic Party of Germany,,Executive,2017,,Current,,query (5).csv
Franziska Giffey,Female,Germany,Social Democratic Party of Germany,,Executive,2018,2021,Former,FranziskaGiffey,query (5).csv
Friedrich Merz,Male,Germany,Christian Democratic Union,,Executive,2025,,Current,_FriedrichMerz,query (5).csv
Gerd Müller,Male,Germany,Christian Social Union of Bavaria,,Executive,2013,2021,Former,gmueller2000,query (5).csv
